clinical,GCF_000259025.1
clinical,GCA_000259025.1
clinical,GCF_006704785.1
clinical,GCA_006704785.1
clinical,GCF_000481225.1
clinical,GCA_000481225.1
clinical,GCA_016923535.1
clinical,GCA_016923365.1
clinical,GCA_028369895.1
clinical,GCA_021666035.1
clinical,GCF_003841565.1
clinical,GCA_003841565.1
clinical,GCA_021712895.1
clinical,GCF_019430225.1
clinical,GCF_019324825.1
clinical,GCA_019430225.1
clinical,GCA_019324825.1
clinical,GCA_021660915.1
clinical,GCF_001814745.1
clinical,GCA_021670015.1
clinical,GCA_001814745.1
clinical,GCF_019022585.1
clinical,GCF_003834085.1
clinical,GCA_019022585.1
clinical,GCA_003834085.1
clinical,GCF_025799255.1
clinical,GCA_021669615.1
clinical,GCF_002812845.1
clinical,GCA_021652675.1
clinical,GCF_002812825.1
clinical,GCA_027959685.1
clinical,GCA_021705895.1
clinical,GCA_025799255.1
clinical,GCA_002812845.1
clinical,GCA_002812825.1
clinical,GCF_000481565.1
clinical,GCA_000481565.1
clinical,GCF_001810325.1
clinical,GCA_001810325.1
clinical,GCF_008244625.1
clinical,GCA_008244625.1
clinical,GCA_024537655.1
clinical,GCF_002276485.1
clinical,GCA_002276485.1
clinical,GCF_003834235.1
clinical,GCF_003835455.1
clinical,GCA_003834235.1
clinical,GCA_003835455.1
clinical,GCF_003835405.1
clinical,GCA_003835405.1
clinical,GCF_004373275.1
clinical,GCF_004378735.1
clinical,GCA_004373275.1
clinical,GCA_004378735.1
clinical,GCF_009720425.1
clinical,GCF_009720405.1
clinical,GCF_003834465.1
clinical,GCF_003835385.1
clinical,GCA_009720425.1
clinical,GCA_009720405.1
clinical,GCA_003834465.1
clinical,GCA_003835385.1
clinical,GCA_003834685.1
clinical,GCA_003834665.1
clinical,GCF_003834685.1
clinical,GCF_003834665.1
clinical,GCF_009725015.1
clinical,GCF_003833905.1
clinical,GCF_003835485.1
clinical,GCF_003835445.1
clinical,GCA_003833905.1
clinical,GCA_003835485.1
clinical,GCA_003835445.1
clinical,GCA_003834825.1
clinical,GCF_003834825.1
clinical,GCF_001990525.1
clinical,GCF_002001385.1
clinical,GCF_002005765.1
clinical,GCF_002001265.1
clinical,GCF_001990425.1
clinical,GCF_001990345.1
clinical,GCF_002001305.1
clinical,GCF_002001275.1
clinical,GCF_002001235.1
clinical,GCF_001990295.1
clinical,GCF_002001315.1
clinical,GCF_001990325.1
clinical,GCF_001990405.1
clinical,GCF_001990375.1
clinical,GCF_002001225.1
clinical,GCF_002005755.1
clinical,GCF_001990335.1
clinical,GCF_002154915.1
clinical,GCF_001990445.1
clinical,GCF_001990285.1
clinical,GCA_019686735.1
clinical,GCA_019690255.1
clinical,GCA_019688215.1
clinical,GCA_019687545.1
clinical,GCA_019687395.1
clinical,GCA_019687525.1
clinical,GCA_019688515.1
clinical,GCA_019687365.1
clinical,GCA_019688625.1
clinical,GCA_019688595.1
clinical,GCA_019687075.1
clinical,GCA_019686525.1
clinical,GCA_019688115.1
clinical,GCA_019687755.1
clinical,GCA_019686655.1
clinical,GCA_019687645.1
clinical,GCA_019690605.1
clinical,GCA_019690715.1
clinical,GCA_019688495.1
clinical,GCA_019686615.1
clinical,GCA_019690575.1
clinical,GCA_019687615.1
clinical,GCA_019687835.1
clinical,GCA_019688375.1
clinical,GCA_019687055.1
clinical,GCA_019688475.1
clinical,GCA_001990525.1
clinical,GCA_002001385.1
clinical,GCA_002005765.1
clinical,GCA_002001265.1
clinical,GCA_001990425.1
clinical,GCA_001990345.1
clinical,GCA_002001305.1
clinical,GCA_002001275.1
clinical,GCA_002001235.1
clinical,GCA_001990295.1
clinical,GCA_002001315.1
clinical,GCA_001990325.1
clinical,GCA_001990405.1
clinical,GCA_001990375.1
clinical,GCA_002001225.1
clinical,GCA_002005755.1
clinical,GCA_001990335.1
clinical,GCA_002154915.1
clinical,GCA_001990445.1
clinical,GCA_001990285.1
clinical,GCF_003936925.1
clinical,GCF_003936235.1
clinical,GCF_003936905.1
clinical,GCF_003936835.1
clinical,GCF_003939695.1
clinical,GCA_003936925.1
clinical,GCA_003936235.1
clinical,GCA_003936905.1
clinical,GCA_003936835.1
clinical,GCA_003939695.1
clinical,GCF_003186455.1
clinical,GCA_003186455.1
clinical,GCA_021593565.1
clinical,GCA_021593545.1
clinical,GCA_021593085.1
clinical,GCA_021593105.1
clinical,GCA_021593605.1
clinical,GCA_021593465.1
clinical,GCF_012102975.1
clinical,GCF_012102995.1
clinical,GCA_012102975.1
clinical,GCA_012102995.1
clinical,GCF_003833565.1
clinical,GCA_003833565.1
clinical,GCA_021593245.1
clinical,GCA_019688355.1
clinical,GCF_013177145.1
clinical,GCA_013177145.1
clinical,GCA_024319815.1
clinical,GCF_019754515.1
clinical,GCA_021652015.1
clinical,GCA_024505895.1
clinical,GCA_021658735.1
clinical,GCA_028547095.1
clinical,GCA_021651155.1
clinical,GCA_022881635.1
clinical,GCA_024569225.1
clinical,GCA_021657055.1
clinical,GCA_021657375.1
clinical,GCA_021657435.1
clinical,GCA_021660675.1
clinical,GCA_021658815.1
clinical,GCA_025778415.1
clinical,GCA_021663375.2
clinical,GCA_024962965.1
clinical,GCF_001086805.1
clinical,GCF_001086655.1
clinical,GCF_001086645.1
clinical,GCF_001086725.1
clinical,GCF_001086755.1
clinical,GCF_001086735.1
clinical,GCF_001086635.1
clinical,GCF_001086745.1
clinical,GCF_001086625.1
clinical,GCF_006364735.1
clinical,GCA_006364735.1
clinical,GCF_025792295.1
clinical,GCF_025791345.1
clinical,GCF_025792225.1
clinical,GCF_025791755.1
clinical,GCF_025792175.1
clinical,GCA_025792295.1
clinical,GCA_025791345.1
clinical,GCA_025792225.1
clinical,GCA_025791755.1
clinical,GCA_025792175.1
clinical,GCA_021594805.2
clinical,GCF_003833715.1
clinical,GCA_003833715.1
clinical,GCF_003840785.1
clinical,GCF_003839065.1
clinical,GCF_003839825.1
clinical,GCF_003838645.1
clinical,GCF_003840945.1
clinical,GCA_003840785.1
clinical,GCA_003839065.1
